D,supply,osm_coeff,no_saturation,fast_pseudo,Keq_1,Keq_2,K_1,K_2,id
1.10371550320276e-06,4.18242894433348e-08,0,0,0,10,10,1,1,312
1.10371550320276e-06,4.3939705607608e-08,0,0,0,10,10,1,1,313
1.10371550320276e-06,4.6162116669048e-08,0,0,0,10,10,1,1,314
1.10371550320276e-06,4.8496934285282e-08,0,0,0,10,10,1,1,315
1.10371550320276e-06,5.09498438282827e-08,0,0,0,10,10,1,1,316
1.10371550320276e-06,5.35268182284711e-08,0,0,0,10,10,1,1,317
1.10371550320276e-06,5.62341325190349e-08,0,0,0,10,10,1,1,318
1.10371550320276e-06,5.90783791158794e-08,0,0,0,10,10,1,1,319
1.10371550320276e-06,6.20664838704171e-08,0,0,0,10,10,1,1,320
1.10371550320276e-06,6.52057229342861e-08,0,0,0,10,10,1,1,321
1.10371550320276e-06,6.85037404770632e-08,0,0,0,10,10,1,1,322
1.10371550320276e-06,7.19685673001151e-08,0,0,0,10,10,1,1,323
1.10371550320276e-06,7.56086403919129e-08,0,0,0,10,10,1,1,324
1.10371550320276e-06,7.94328234724282e-08,0,0,0,10,10,1,1,325
1.10371550320276e-06,8.34504285766366e-08,0,0,0,10,10,1,1,326
1.10371550320276e-06,8.76712387296869e-08,0,0,0,10,10,1,1,327
1.10371550320276e-06,9.21055317689482e-08,0,0,0,10,10,1,1,328
1.10371550320276e-06,9.67641053709454e-08,0,0,0,10,10,1,1,329
1.10371550320276e-06,1.01658303344122e-07,0,0,0,10,10,1,1,330
1.10371550320276e-06,1.06800043251458e-07,0,0,0,10,10,1,1,331
1.10371550320276e-06,1.12201845430196e-07,0,0,0,10,10,1,1,332
1.10371550320276e-06,1.17876863479359e-07,0,0,0,10,10,1,1,333
1.10371550320276e-06,1.23838916289267e-07,0,0,0,10,10,1,1,334
1.10371550320276e-06,1.30102521691083e-07,0,0,0,10,10,1,1,335
1.10371550320276e-06,1.36682931808293e-07,0,0,0,10,10,1,1,336
1.10371550320276e-06,1.43596170196222e-07,0,0,0,10,10,1,1,337
1.10371550320276e-06,1.50859070860018e-07,0,0,0,10,10,1,1,338
1.10371550320276e-06,1.58489319246111e-07,0,0,0,10,10,1,1,339
1.10371550320276e-06,1.66505495306965e-07,0,0,0,10,10,1,1,340
1.10371550320276e-06,1.74927118743984e-07,0,0,0,10,10,1,1,341
1.10371550320276e-06,1.83774696538751e-07,0,0,0,10,10,1,1,342
1.10371550320276e-06,1.93069772888325e-07,0,0,0,10,10,1,1,343
1.10371550320276e-06,2.02834981666202e-07,0,0,0,10,10,1,1,344
1.10371550320276e-06,2.1309410153668e-07,0,0,0,10,10,1,1,345
1.10371550320276e-06,2.23872113856834e-07,0,0,0,10,10,1,1,346
1.10371550320276e-06,2.35195263507096e-07,0,0,0,10,10,1,1,347
1.10371550320276e-06,2.4709112279856e-07,0,0,0,10,10,1,1,348
1.10371550320276e-06,2.5958865861264e-07,0,0,0,10,10,1,1,349
1.10371550320276e-06,2.72718302936548e-07,0,0,0,10,10,1,1,350
1.10371550320276e-06,2.86512026966378e-07,0,0,0,10,10,1,1,351
1.10371550320276e-06,3.01003418958214e-07,0,0,0,10,10,1,1,352
1.10371550320276e-06,3.16227766016838e-07,0,0,0,10,10,1,1,353
1.10371550320276e-06,3.32222140021215e-07,0,0,0,10,10,1,1,354
1.10371550320276e-06,3.49025487895958e-07,0,0,0,10,10,1,1,355
1.10371550320276e-06,3.66678726448612e-07,0,0,0,10,10,1,1,356
1.10371550320276e-06,3.85224842003675e-07,0,0,0,10,10,1,1,357
1.10371550320276e-06,4.04708995075977e-07,0,0,0,10,10,1,1,358
1.10371550320276e-06,4.25178630338289e-07,0,0,0,10,10,1,1,359
1.10371550320276e-06,4.46683592150963e-07,0,0,0,10,10,1,1,360
1.10371550320276e-06,4.69276245934884e-07,0,0,0,10,10,1,1,361
1.10371550320276e-06,4.93011605683316e-07,0,0,0,10,10,1,1,362
1.10371550320276e-06,5.17947467923121e-07,0,0,0,10,10,1,1,363
1.10371550320276e-06,5.4414455245156e-07,0,0,0,10,10,1,1,364
1.10371550320276e-06,5.71666650191362e-07,0,0,0,10,10,1,1,365
1.10371550320276e-06,6.00580778524112e-07,0,0,0,10,10,1,1,366
1.10371550320276e-06,6.30957344480193e-07,0,0,0,10,10,1,1,367
1.10371550320276e-06,6.62870316182644e-07,0,0,0,10,10,1,1,368
1.10371550320276e-06,6.96397402962431e-07,0,0,0,10,10,1,1,369
