D,supply,osm_coeff,no_saturation,fast_pseudo,Keq_1,Keq_2,alpha_1,alpha_2,id
1.03532184329566e-06,5.29197873595844e-08,0,1,1,1,1,0.182,0,249
1.03532184329566e-06,5.47890117959395e-08,0,1,1,1,1,0.182,0,250
1.03532184329566e-06,5.67242606849198e-08,0,1,1,1,1,0.182,0,251
1.03532184329566e-06,5.87278661318948e-08,0,1,1,1,1,0.182,0,252
1.03532184329566e-06,6.08022426164943e-08,0,1,1,1,1,0.182,0,253
1.03532184329566e-06,6.29498899022189e-08,0,1,1,1,1,0.182,0,254
1.03532184329566e-06,6.51733960488242e-08,0,1,1,1,1,0.182,0,255
1.03532184329566e-06,6.7475440531107e-08,0,1,1,1,1,0.182,0,256
1.03532184329566e-06,6.98587974678525e-08,0,1,1,1,1,0.182,0,257
1.03532184329566e-06,7.23263389648353e-08,0,1,1,1,1,0.182,0,258
1.03532184329566e-06,7.48810385759003e-08,0,1,1,1,1,0.182,0,259
1.03532184329566e-06,7.75259748862946e-08,0,1,1,1,1,0.182,0,260
1.03532184329566e-06,8.02643352225717e-08,0,1,1,1,1,0.182,0,261
1.03532184329566e-06,8.30994194935339e-08,0,1,1,1,1,0.182,0,262
1.03532184329566e-06,8.60346441668451e-08,0,1,1,1,1,0.182,0,263
1.03532184329566e-06,8.90735463861044e-08,0,1,1,1,1,0.182,0,264
1.03532184329566e-06,9.22197882333432e-08,0,1,1,1,1,0.182,0,265
1.03532184329566e-06,9.54771611420807e-08,0,1,1,1,1,0.182,0,266
1.03532184329566e-06,9.88495904662559e-08,0,1,1,1,1,0.182,0,267
1.03532184329566e-06,1.02341140210545e-07,0,1,1,1,1,0.182,0,268
1.03532184329566e-06,1.05956017927761e-07,0,1,1,1,1,0.182,0,269
1.03532184329566e-06,1.09698579789238e-07,0,1,1,1,1,0.182,0,270
1.03532184329566e-06,1.13573335834311e-07,0,1,1,1,1,0.182,0,271
1.03532184329566e-06,1.17584955405216e-07,0,1,1,1,1,0.182,0,272
1.03532184329566e-06,1.21738272773966e-07,0,1,1,1,1,0.182,0,273
1.03532184329566e-06,1.26038292967973e-07,0,1,1,1,1,0.182,0,274
1.03532184329566e-06,1.3049019780144e-07,0,1,1,1,1,0.182,0,275
1.03532184329566e-06,1.35099352119803e-07,0,1,1,1,1,0.182,0,276
1.03532184329566e-06,1.39871310264724e-07,0,1,1,1,1,0.182,0,277
1.03532184329566e-06,1.44811822767453e-07,0,1,1,1,1,0.182,0,278
1.03532184329566e-06,1.49926843278605e-07,0,1,1,1,1,0.182,0,279
1.03532184329566e-06,1.55222535742705e-07,0,1,1,1,1,0.182,0,280
1.03532184329566e-06,1.60705281826164e-07,0,1,1,1,1,0.182,0,281
1.03532184329566e-06,1.66381688607613e-07,0,1,1,1,1,0.182,0,282
1.03532184329566e-06,1.72258596539879e-07,0,1,1,1,1,0.182,0,283
1.03532184329566e-06,1.78343087693191e-07,0,1,1,1,1,0.182,0,284
1.03532184329566e-06,1.84642494289554e-07,0,1,1,1,1,0.182,0,285
1.03532184329566e-06,1.9116440753857e-07,0,1,1,1,1,0.182,0,286
1.03532184329566e-06,1.97916686785356e-07,0,1,1,1,1,0.182,0,287
1.03532184329566e-06,2.04907468981585e-07,0,1,1,1,1,0.182,0,288
1.03532184329566e-06,2.12145178491063e-07,0,1,1,1,1,0.182,0,289
1.03532184329566e-06,2.19638537241655e-07,0,1,1,1,1,0.182,0,290
1.03532184329566e-06,2.27396575235793e-07,0,1,1,1,1,0.182,0,291
1.03532184329566e-06,2.35428641432242e-07,0,1,1,1,1,0.182,0,292
1.03532184329566e-06,2.43744415012222e-07,0,1,1,1,1,0.182,0,293
1.03532184329566e-06,2.52353917043477e-07,0,1,1,1,1,0.182,0,294
1.03532184329566e-06,2.61267522556333e-07,0,1,1,1,1,0.182,0,295
1.03532184329566e-06,2.70495973046314e-07,0,1,1,1,1,0.182,0,296
1.03532184329566e-06,2.80050389418363e-07,0,1,1,1,1,0.182,0,297
1.03532184329566e-06,2.89942285388288e-07,0,1,1,1,1,0.182,0,298
1.03532184329566e-06,3.00183581357559e-07,0,1,1,1,1,0.182,0,299
1.03532184329566e-06,3.10786618778201e-07,0,1,1,1,1,0.182,0,300
1.03532184329566e-06,3.21764175025074e-07,0,1,1,1,1,0.182,0,301
1.03532184329566e-06,3.33129478793467e-07,0,1,1,1,1,0.182,0,302
1.03532184329566e-06,3.44896226040576e-07,0,1,1,1,1,0.182,0,303
1.03532184329566e-06,3.57078596490046e-07,0,1,1,1,1,0.182,0,304
1.03532184329566e-06,3.69691270719502e-07,0,1,1,1,1,0.182,0,305
1.03532184329566e-06,3.82749447851632e-07,0,1,1,1,1,0.182,0,306
1.03532184329566e-06,3.96268863870148e-07,0,1,1,1,1,0.182,0,307
1.03532184329566e-06,4.10265810582719e-07,0,1,1,1,1,0.182,0,308
1.03532184329566e-06,4.24757155253689e-07,0,1,1,1,1,0.182,0,309
1.03532184329566e-06,4.39760360930272e-07,0,1,1,1,1,0.182,0,310
1.03532184329566e-06,4.55293507486695e-07,0,1,1,1,1,0.182,0,311
1.03532184329566e-06,4.71375313411673e-07,0,1,1,1,1,0.182,0,312
1.03532184329566e-06,4.88025158365443e-07,0,1,1,1,1,0.182,0,313
1.03532184329566e-06,5.05263106533568e-07,0,1,1,1,1,0.182,0,314
1.03532184329566e-06,5.23109930805626e-07,0,1,1,1,1,0.182,0,315
1.03532184329566e-06,5.41587137807948e-07,0,1,1,1,1,0.182,0,316
1.03532184329566e-06,5.60716993820546e-07,0,1,1,1,1,0.182,0,317
1.03532184329566e-06,5.8052255160949e-07,0,1,1,1,1,0.182,0,318
1.03532184329566e-06,6.01027678207039e-07,0,1,1,1,1,0.182,0,319
1.03532184329566e-06,6.22257083673023e-07,0,1,1,1,1,0.182,0,320
1.03532184329566e-06,6.44236350872137e-07,0,1,1,1,1,0.182,0,321
1.03532184329566e-06,6.66991966303011e-07,0,1,1,1,1,0.182,0,322
1.03532184329566e-06,6.90551352016233e-07,0,1,1,1,1,0.182,0,323
1.03532184329566e-06,7.14942898659758e-07,0,1,1,1,1,0.182,0,324
1.03532184329566e-06,7.40195999691565e-07,0,1,1,1,1,0.182,0,325
1.03532184329566e-06,7.66341086800746e-07,0,1,1,1,1,0.182,0,326
1.03532184329566e-06,7.93409666579749e-07,0,1,1,1,1,0.182,0,327
1.03532184329566e-06,8.21434358491942e-07,0,1,1,1,1,0.182,0,328
1.03532184329566e-06,8.50448934180267e-07,0,1,1,1,1,0.182,0,329
1.03532184329566e-06,8.80488358164346e-07,0,1,1,1,1,0.182,0,330
1.03532184329566e-06,9.11588829975082e-07,0,1,1,1,1,0.182,0,331
1.03532184329566e-06,9.43787827777539e-07,0,1,1,1,1,0.182,0,332
1.03532184329566e-06,9.7712415353465e-07,0,1,1,1,1,0.182,0,333
1.03532184329566e-06,1.01163797976621e-06,0,1,1,1,1,0.182,0,334
1.03532184329566e-06,1.04737089795945e-06,0,1,1,1,1,0.182,0,335
1.03532184329566e-06,1.08436596868961e-06,0,1,1,1,1,0.182,0,336
1.03532184329566e-06,1.12266777351081e-06,0,1,1,1,1,0.182,0,337
1.03532184329566e-06,1.16232246867985e-06,0,1,1,1,1,0.182,0,338
1.03532184329566e-06,1.20337784077759e-06,0,1,1,1,1,0.182,0,339
1.03532184329566e-06,1.24588336429501e-06,0,1,1,1,1,0.182,0,340
1.03532184329566e-06,1.28989026125331e-06,0,1,1,1,1,0.182,0,341
1.03532184329566e-06,1.3354515629299e-06,0,1,1,1,1,0.182,0,342
1.03532184329566e-06,1.38262217376466e-06,0,1,1,1,1,0.182,0,343
1.03532184329566e-06,1.43145893752348e-06,0,1,1,1,1,0.182,0,344
1.03532184329566e-06,1.48202070579886e-06,0,1,1,1,1,0.182,0,345
1.03532184329566e-06,1.53436840893001e-06,0,1,1,1,1,0.182,0,346
1.03532184329566e-06,1.58856512942805e-06,0,1,1,1,1,0.182,0,347
1.03532184329566e-06,1.64467617799466e-06,0,1,1,1,1,0.182,0,348
1.03532184329566e-06,1.7027691722259e-06,0,1,1,1,1,0.182,0,349
1.03532184329566e-06,1.76291411809595e-06,0,1,1,1,1,0.182,0,350
1.03532184329566e-06,1.82518349431904e-06,0,1,1,1,1,0.182,0,351
1.03532184329566e-06,1.88965233969121e-06,0,1,1,1,1,0.182,0,352
1.03532184329566e-06,1.95639834351706e-06,0,1,1,1,1,0.182,0,353
1.03532184329566e-06,2.02550193923067e-06,0,1,1,1,1,0.182,0,354
1.03532184329566e-06,2.09704640132323e-06,0,1,1,1,1,0.182,0,355
1.03532184329566e-06,2.1711179456945e-06,0,1,1,1,1,0.182,0,356
1.03532184329566e-06,2.24780583354873e-06,0,1,1,1,1,0.182,0,357
1.03532184329566e-06,2.32720247896041e-06,0,1,1,1,1,0.182,0,358
1.03532184329566e-06,2.40940356023953e-06,0,1,1,1,1,0.182,0,359
1.03532184329566e-06,2.49450813523032e-06,0,1,1,1,1,0.182,0,360
1.03532184329566e-06,2.58261876068267e-06,0,1,1,1,1,0.182,0,361
1.03532184329566e-06,2.67384161583994e-06,0,1,1,1,1,0.182,0,362
1.03532184329566e-06,2.76828663039207e-06,0,1,1,1,1,0.182,0,363
1.03532184329566e-06,2.86606761694825e-06,0,1,1,1,1,0.182,0,364
1.03532184329566e-06,2.96730240818887e-06,0,1,1,1,1,0.182,0,365
1.03532184329566e-06,3.07211299886176e-06,0,1,1,1,1,0.182,0,366
1.03532184329566e-06,3.18062569279412e-06,0,1,1,1,1,0.182,0,367
1.03532184329566e-06,3.29297125509715e-06,0,1,1,1,1,0.182,0,368
1.03532184329566e-06,3.40928506974681e-06,0,1,1,1,1,0.182,0,369
1.03532184329566e-06,3.52970730273065e-06,0,1,1,1,1,0.182,0,370
1.03532184329566e-06,3.65438307095726e-06,0,1,1,1,1,0.182,0,371
1.03532184329566e-06,3.78346261713193e-06,0,1,1,1,1,0.182,0,372
1.03532184329566e-06,3.91710149080926e-06,0,1,1,1,1,0.182,0,373
